"Lugar de residencia";"Población";"Confirmados PDIA";"Confirmados PDIA 14 días";"Tasa PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Fecha"
"San Juan del Puerto";"9411";"354";"18";"191.26554032515142";"4";"355";"188";"10";"18/02/2021"
"Trigueros";"7862";"223";"17";"216.22996692953447";"3";"225";"133";"7";"18/02/2021"
"Villalba del Alcor";"3366";"437";"14";"415.92394533571002";"2";"439";"204";"7";"18/02/2021"
"Villarrasa";"2211";"129";"3";"135.68521031207598";"0";"131";"100";"1";"18/02/2021"
"Aljaraque";"21474";"921";"51";"237.49650740430289";"13";"931";"546";"15";"18/02/2021"
"Almendro (El)";"840";"34";"1";"119.04761904761905";"0";"36";"24";"0";"18/02/2021"
"Alosno";"3933";"119";"3";"76.277650648360037";"0";"120";"66";"4";"18/02/2021"
"Ayamonte";"21104";"1173";"96";"454.89006823351025";"15";"1183";"445";"5";"18/02/2021"
"Cabezas Rubias";"706";"28";"1";"141.64305949008499";"0";"28";"13";"0";"18/02/2021"
"Cartaya";"20083";"900";"64";"318.67748842304434";"37";"907";"504";"7";"18/02/2021"
"Granado (El)";"532";"37";"0";"0";"0";"37";"33";"3";"18/02/2021"
"Huelva (capital)";"143837";"6454";"453";"314.93982772165714";"169";"6527";"3824";"67";"18/02/2021"
"Isla Cristina";"21393";"1979";"137";"640.3963913429626";"28";"1990";"815";"9";"18/02/2021"
"Lepe";"27880";"1957";"136";"487.80487804878049";"52";"1963";"1079";"5";"18/02/2021"
"Paymogo";"1162";"72";"4";"344.23407917383821";"0";"73";"14";"2";"18/02/2021"
"Puebla de Guzmán";"3092";"81";"10";"323.41526520051747";"1";"81";"37";"2";"18/02/2021"
"Punta Umbría";"15355";"641";"48";"312.6017583848909";"10";"648";"273";"2";"18/02/2021"
"San Silvestre de Guzmán";"614";"11";"2";"325.73289902280129";"0";"11";"7";"0";"18/02/2021"
"Sanlúcar de Guadiana";"403";"3";"0";"0";"0";"3";"2";"0";"18/02/2021"
"Santa Bárbara de Casa";"1043";"13";"0";"0";"0";"13";"8";"4";"18/02/2021"
"Villablanca";"2885";"163";"30";"1039.8613518197574";"2";"164";"74";"0";"18/02/2021"
"Villanueva de las Cruces";"387";"20";"0";"0";"0";"20";"3";"0";"18/02/2021"
"Villanueva de los Castillejos";"2825";"145";"15";"530.97345132743362";"5";"149";"70";"0";"18/02/2021"
"Municipio de Huelva sin especificar";"0";"428";"55";NA;"15";"430";"202";"2";"18/02/2021"
"Alcalá la Real";"21709";"1152";"86";"396.14906260076464";"32";"1160";"971";"41";"18/02/2021"
"Alcaudete";"10483";"501";"19";"181.24582657636174";"10";"504";"456";"10";"18/02/2021"
"Castillo de Locubín";"4049";"277";"25";"617.43640405038286";"8";"281";"235";"9";"18/02/2021"
"Frailes";"1585";"113";"4";"252.36593059936908";"2";"113";"107";"2";"18/02/2021"
"Fuensanta de Martos";"3038";"108";"16";"526.66227781435157";"11";"109";"76";"2";"18/02/2021"
"Higuera de Calatrava";"614";"17";"1";"162.86644951140065";"0";"17";"16";"0";"18/02/2021"
"Lopera";"3652";"182";"10";"273.82256297918951";"1";"184";"163";"0";"18/02/2021"
"Martos";"24343";"1201";"47";"193.07398430760384";"22";"1215";"937";"16";"18/02/2021"
"Porcuna";"6156";"260";"6";"97.465886939571149";"0";"266";"235";"13";"18/02/2021"
"Santiago de Calatrava";"675";"10";"1";"148.14814814814815";"0";"10";"6";"0";"18/02/2021"
"Torredonjimeno";"13632";"844";"19";"139.37793427230048";"5";"856";"653";"13";"18/02/2021"
"Villardompardo";"968";"27";"1";"103.30578512396694";"0";"28";"18";"1";"18/02/2021"
"Albanchez de Mágina";"1011";"15";"0";"0";"0";"16";"12";"0";"18/02/2021"
"Bélmez de la Moraleda";"1569";"82";"5";"318.67431485022308";"2";"82";"54";"1";"18/02/2021"
"Cabra del Santo Cristo";"1782";"105";"8";"448.93378226711559";"1";"106";"64";"1";"18/02/2021"
"Cambil";"2683";"116";"10";"372.71710771524414";"6";"117";"85";"7";"18/02/2021"
"Campillo de Arenas";"1751";"131";"2";"114.22044545973729";"0";"131";"113";"1";"18/02/2021"
"Cárcheles";"1332";"29";"0";"0";"0";"31";"28";"2";"18/02/2021"
"Cazalilla";"803";"105";"7";"871.73100871731003";"1";"106";"35";"1";"18/02/2021"
"Espeluy";"620";"27";"0";"0";"0";"27";"22";"0";"18/02/2021"
"Fuerte del Rey";"1355";"121";"0";"0";"0";"124";"105";"13";"18/02/2021"
"Guardia de Jaén (La)";"4983";"367";"16";"321.09171182018866";"4";"373";"300";"12";"18/02/2021"
"Huelma";"5744";"411";"13";"226.32311977715878";"4";"417";"325";"13";"18/02/2021"
