n_personas_1_dosis;%personas_1_dosis;n_personas_pauta_completa;%personas_pauta_completa;cod_cuando;cod_donde_provincia;cod_quien_vacunas
936;84,962708841277035;1791;8,176005638624579;61;2;3
663;94,172024365802301;2264;13,888732505376465;61;3;3
788;88,751055846936566;898;12,130944663798692;61;8;3
601;89,516114323234902;831;11,049300527112553;61;4;3
754;94,631275858213129;1123;13,004584591300459;61;5;3
2239;77,434096230833148;2281;8,3389984137774764;61;6;3
1719;89,904150510405955;2991;11,264540634644298;61;7;3
4820;51,073647026136655;157;8,2260017067217053;61;1;4
5397;42,500940262849817;228;8,1222818457757029;61;2;4
4792;44,172249909237927;224;9,1413908049770622;61;3;4
5717;45,42968890164699;385;9,6587606300907822;61;8;4
2448;42,193650300393621;70;7,8322457012637248;61;4;4
4100;40,187055817296176;389;8,8107881498043596;61;5;4
8901;41,79186933285294;325;6,817990752416982;61;6;4
12175;40,650785154702241;512;7,9040296961566003;61;7;4
100;11,021026887789066;49;4,8345199849497842;61;1;5
412;12,856436609050213;271;6,2356847075258184;61;2;5
285;14,241016511434225;166;6,5151781416422807;61;3;5
789;13,891331873779807;293;6,5196509546353303;61;8;5
625;12,322140011383039;72;4,7901898897914839;61;4;5
171;13,744247425037875;141;5,9779139233752252;61;5;5
511;11,033353088370868;173;4,9766232055840902;61;6;5
714;12,185278494286765;302;5,6894867029761471;61;7;5
23;4,9751686573274707;4;2,1912102387012942;61;1;6
126;5,9433599120153975;44;2,7517184492713773;61;2;6
244;7,3289455642396817;44;2,8040586864116275;61;3;6
28;6,1741409766938284;11;2,8662601857655705;61;8;6
44;5,9038376248989071;10;2,3349247345490594;61;4;6
46;5,3613194612468744;10;2,3409145898862813;61;5;6
96;5,0326149087118797;18;2,5595978615379442;61;6;6
162;5,3547878390353842;39;2,91533797126529;61;7;6
0;0,27580772261623326;0;0,22983976884686105;61;1;7
1;0,23833598151090568;1;0,17694641051567239;61;2;7
2;0,28405656956364078;2;0,20548773117369756;61;3;7
0;0,24610336341263331;2;0,19995898277276455;61;8;7
0;0,30721966205837176;3;0,18071744826963043;61;4;7
0;0,163471541090801;0;0,12631891811561896;61;5;7
2;0,33609173327308162;1;0,2570113254441212;61;6;7
1;0,25337641507240988;1;0,15342058160347755;61;7;7
1;0,0015327667205689631;0;0;61;1;8
1;0,002395473513249364;0;0,00095818940529974561;61;2;8
0;0,0091008372770294867;0;0,003309395373465268;61;3;8
1;0,0048001097167935268;1;0,0027429198381677296;61;8;8
0;0,0093665847090504632;0;0,0011708230886313079;61;4;8
0;0,0032105477194409367;0;0,0010701825731469789;61;5;8
0;0,0043129164659962476;0;0,0028752776439974984;61;6;8
1;0,0053065411964481552;1;0,0035376941309654369;61;7;8
28;104,14030452617673;70;101,14371132587083;62;1;1
43;106,64187430271477;104;104,33060617329862;62;2;1
12;104,14686216063804;26;102,26778377507452;62;3;1
17;103,45685895776499;48;101,20074075549095;62;8;1
19;106,02712001619105;15;103,6227484314916;62;4;1
11;101,37846386253128;45;99,464192984940752;62;5;1
65;100,35278046710256;96;97,55308285036007;62;6;1
56;106,21368206077155;258;103,62756270662439;62;7;1
131;99,566616876696187;1658;90,974691267119681;62;1;2
261;100,91773328376441;2907;88,901163099474218;62;2;2
75;99,2251921461244;751;91,4880044808165;62;3;2
89;99,455413745915607;946;88,611165414583738;62;8;2
45;101,25012678770666;524;93,135713561213109;62;4;2
63;96,625724673282889;659;90,287904097474694;62;5;2
324;92,898997288170662;2446;81,848477459304092;62;6;2
253;100,10804493038238;4204;90,730560406629479;62;7;2
886;86,829268292682926;650;12,454182168940333;62;1;3
1103;85,756000028768497;2535;9,9992088664494645;62;2;3
1208;95,532185603458956;2063;16,211590645513606;62;3;3
653;89,392421474453414;2888;14,967489736185593;62;8;3
202;89,884545935396787;546;12,045160231272913;62;4;3
299;95,049200492004914;1360;14,905512691490552;62;5;3
1518;78,253105003614863;3450;10,200381988281377;62;6;3
1664;90,72713064809686;2002;12,254688612803672;62;7;3
5671;56,700867252773421;175;8,3996507174184849;62;1;4
8179;46,833565529699065;383;8,3251667311166084;62;2;4
4071;47,531271659130667;246;9,3443678009175226;62;3;4
3634;48,037604506799667;268;9,8510890236463453;62;8;4
2796;45,813911332090328;219;8,1158069194116429;62;4;4
4471;44,649844286512817;307;9,1172243072746149;62;5;4
11009;46,199083248263577;362;6,9629095858604053;62;6;4
8486;43,60024190689365;702;8,1480219940635497;62;7;4
335;11,142224537640011;67;4,8587595149199734;62;1;5
693;13,013593008014295;445;6,3366004326903456;62;2;5
1409;14,779299964088967;248;6,6099221418256562;62;3;5
353;14,001422129076927;156;6,5683027388459552;62;8;5
49;12,347493144305894;55;4,818647487970197;62;4;5
1234;14,332129619925109;281;6,1117833696988173;62;5;5
1535;11,286052943500593;313;5,028150928486764;62;6;5
1279;12,368256529769338;223;5,7213898319148599;62;7;5
25;5,0196692714359461;12;2,2125705334733619;62;1;6
133;6,0896343139950506;56;2,8133076711575473;62;2;6
551;8,2733443027560671;48;2,8863293569175923;62;3;6
25;6,2097555416263033;15;2,8876289247250555;62;8;6
17;5,9481881505830794;11;2,3636221335211709;62;4;6
245;5,8553109121703359;28;2,3973707557061052;62;5;6
220;5,2175448034699574;23;2,5789314414444706;62;6;6
312;5,5724961796372927;36;2,9404581644116643;62;7;6
0;0,27580772261623326;0;0,22983976884686105;62;1;7
0;0,23833598151090568;1;0,18055756175068613;62;2;7
1;0,29010032636286714;0;0,20548773117369756;62;3;7
1;0,25123051681706315;0;0,19995898277276455;62;8;7
0;0,30721966205837176;4;0,21686093792355651;62;4;7
2;0,17833259028087384;0;0,12631891811561896;62;5;7
1;0,33891603355268735;4;0,26830852656254411;62;6;7
4;0,26267463213928727;3;0,16039424440363562;62;7;7
0;0,0015327667205689631;0;0;62;1;8
1;0,0028745682158992369;1;0,0014372841079496185;62;2;8
0;0,0091008372770294867;1;0,0041367442168315852;62;3;8
0;0,0048001097167935268;0;0,0027429198381677296;62;8;8
0;0,0093665847090504632;6;0,0081957616204191546;62;4;8
0;0,0032105477194409367;0;0,0010701825731469789;62;5;8
2;0,0050317358769956227;0;0,0028752776439974984;62;6;8
0;0,0053065411964481552;0;0,0035376941309654369;62;7;8
6;104,16116248348744;25;101,23061948133213;63;1;1
11;106,66232800297509;28;104,38267013759761;63;2;1
2;104,1508901957625;4;102,27583984532345;63;3;1
11;103,47876301798124;21;101,24255759772198;63;8;1
9;106,0635498886865;15;103,68346488565068;63;4;1
8;101,39734692914129;10;99,487796818203279;63;5;1
29;100,39124149547088;84;97,664487208392458;63;6;1
3;106,21706703374818;47;103,68059394992497;63;7;1
28;99,625523320640397;323;91,654219174047498;63;1;2
107;101,03138775293431;1485;90,478517180944294;63;2;2
26;99,265643961788598;312;91,973426268786753;63;3;2
65;99,546178121596341;310;89,044041667830314;63;8;2
17;101,29323460797241;363;94,056192311593463;63;4;2
32;96,688611575120376;115;90,513903900953125;63;5;2
195;93,043086313020481;1893;83,247249377461515;63;6;2
116;100,18687016261102;1155;91,515415089595749;63;7;2
185;87,084194570759266;1383;14,359928345046162;63;1;3
846;86,364453650362123;1575;11,1319682683525;63;2;3
300;95,869973990294213;373;16,631574206478781;63;3;3
797;90,175221482310874;2487;17,410179346651738;63;8;3
1128;91,941926423112704;650;13,230707498130483;63;4;3
138;95,242088784524213;717;15,907693167840769;63;5;3
891;78,733827544160647;2605;11,605861469899539;63;6;3
555;91,001622220463716;1829;13,159274353090131;63;7;3
2200;58,883883387247216;85;8,4839945226140632;63;1;4
4486;49,209914343378692;187;8,4242254088156923;63;2;4
3165;50,142743984950002;115;9,4392554209709889;63;3;4
3277;50,389321468298107;212;10,00322939466791;63;8;4
893;46,970167806090743;29;8,1533561218147916;63;4;4
2533;47,178192126487261;214;9,3308312704623493;63;5;4
6202;48,681919173722456;333;7,0962188994975879;63;6;4
6069;45,709628311448171;1603;8,7051724976886771;63;7;4
56;11,162484443286736;41;4,8735926601256114;63;1;5
286;13,078451204412172;162;6,3733382921884427;63;2;5
85;14,811772706087302;22;6,6183268515193419;63;3;5
115;14,037287226411681;55;6,5854556114843161;63;8;5
11;12,353184663941637;23;4,8305479381176593;63;4;5
143;14,400255352395835;84;6,1518012824788242;63;5;5
783;11,414954563413671;243;5,068154879494271;63;6;5
372;12,421476099120017;244;5,7562972913814345;63;7;5
1;5,0214492960002852;3;2,2179106071663788;63;1;6
59;6,1545229584822652;20;2,8353038218311797;63;2;6
22;8,3110516934046341;8;2,9000411353352531;63;3;6
62;6,2980796626588411;15;2,9089976636845405;63;8;6
-3;5,9403615872270485;1;2,3662309879731809;63;4;6
21;5,8976530365352042;14;2,4255988386160174;63;5;6
110;5,3100097508489963;36;2,6091926969503381;63;6;6
147;5,6750703016516528;36;2,9655783575580381;63;7;6
1;0,28237457315471498;0;0,22983976884686105;63;1;7
0;0,23833598151090568;0;0,18055756175068613;63;2;7
0;0,29010032636286714;1;0,21153148797292398;63;3;7
0;0,25123051681706315;0;0,19995898277276455;63;8;7
