fecha;mes;anio;semana;nombre_mes;es_dia_natural;es_dia_habil;cod_cuando
15/08/2020;8;2020;33;Agosto;TRUE;FALSE;326
14/08/2020;8;2020;33;Agosto;TRUE;FALSE;327
13/08/2020;8;2020;33;Agosto;TRUE;FALSE;328
12/08/2020;8;2020;33;Agosto;TRUE;FALSE;329
11/08/2020;8;2020;32;Agosto;TRUE;FALSE;330
10/08/2020;8;2020;32;Agosto;TRUE;FALSE;331
09/08/2020;8;2020;32;Agosto;TRUE;FALSE;332
08/08/2020;8;2020;32;Agosto;TRUE;FALSE;333
07/08/2020;8;2020;32;Agosto;TRUE;FALSE;334
06/08/2020;8;2020;32;Agosto;TRUE;FALSE;335
05/08/2020;8;2020;32;Agosto;TRUE;FALSE;336
04/08/2020;8;2020;31;Agosto;TRUE;FALSE;337
03/08/2020;8;2020;31;Agosto;TRUE;FALSE;338
02/08/2020;8;2020;31;Agosto;TRUE;FALSE;339
01/08/2020;8;2020;31;Agosto;TRUE;FALSE;340
31/07/2020;7;2020;31;Julio;TRUE;FALSE;341
30/07/2020;7;2020;31;Julio;TRUE;FALSE;342
29/07/2020;7;2020;31;Julio;TRUE;FALSE;343
28/07/2020;7;2020;30;Julio;TRUE;FALSE;344
27/07/2020;7;2020;30;Julio;TRUE;FALSE;345
26/07/2020;7;2020;30;Julio;TRUE;FALSE;346
25/07/2020;7;2020;30;Julio;TRUE;FALSE;347
24/07/2020;7;2020;30;Julio;TRUE;FALSE;348
23/07/2020;7;2020;30;Julio;TRUE;FALSE;349
22/07/2020;7;2020;30;Julio;TRUE;FALSE;350
21/07/2020;7;2020;29;Julio;TRUE;FALSE;351
20/07/2020;7;2020;29;Julio;TRUE;FALSE;352
19/07/2020;7;2020;29;Julio;TRUE;FALSE;353
18/07/2020;7;2020;29;Julio;TRUE;FALSE;354
17/07/2020;7;2020;29;Julio;TRUE;FALSE;355
16/07/2020;7;2020;29;Julio;TRUE;FALSE;356
15/07/2020;7;2020;29;Julio;TRUE;FALSE;357
14/07/2020;7;2020;28;Julio;TRUE;FALSE;358
13/07/2020;7;2020;28;Julio;TRUE;FALSE;359
12/07/2020;7;2020;28;Julio;TRUE;FALSE;360
11/07/2020;7;2020;28;Julio;TRUE;FALSE;361
10/07/2020;7;2020;28;Julio;TRUE;FALSE;362
09/07/2020;7;2020;28;Julio;TRUE;FALSE;363
08/07/2020;7;2020;28;Julio;TRUE;FALSE;364
07/07/2020;7;2020;27;Julio;TRUE;FALSE;365
06/07/2020;7;2020;27;Julio;TRUE;FALSE;366
05/07/2020;7;2020;27;Julio;TRUE;FALSE;367
04/07/2020;7;2020;27;Julio;TRUE;FALSE;368
03/07/2020;7;2020;27;Julio;TRUE;FALSE;369
02/07/2020;7;2020;27;Julio;TRUE;FALSE;370
01/07/2020;7;2020;27;Julio;TRUE;FALSE;371
30/06/2020;6;2020;26;Junio;TRUE;FALSE;372
29/06/2020;6;2020;26;Junio;TRUE;FALSE;373
28/06/2020;6;2020;26;Junio;TRUE;FALSE;374
27/06/2020;6;2020;26;Junio;TRUE;FALSE;375
26/06/2020;6;2020;26;Junio;TRUE;FALSE;376
25/06/2020;6;2020;26;Junio;TRUE;FALSE;377
24/06/2020;6;2020;26;Junio;TRUE;FALSE;378
23/06/2020;6;2020;25;Junio;TRUE;FALSE;379
22/06/2020;6;2020;25;Junio;TRUE;FALSE;380
21/06/2020;6;2020;25;Junio;TRUE;FALSE;381
20/06/2020;6;2020;25;Junio;TRUE;FALSE;382
19/06/2020;6;2020;25;Junio;TRUE;FALSE;383
18/06/2020;6;2020;25;Junio;TRUE;FALSE;384
17/06/2020;6;2020;25;Junio;TRUE;FALSE;385
16/06/2020;6;2020;24;Junio;TRUE;FALSE;386
15/06/2020;6;2020;24;Junio;TRUE;FALSE;387
14/06/2020;6;2020;24;Junio;TRUE;FALSE;388
13/06/2020;6;2020;24;Junio;TRUE;FALSE;389
12/06/2020;6;2020;24;Junio;TRUE;FALSE;390
11/06/2020;6;2020;24;Junio;TRUE;FALSE;391
10/06/2020;6;2020;24;Junio;TRUE;FALSE;392
09/06/2020;6;2020;23;Junio;TRUE;FALSE;393
08/06/2020;6;2020;23;Junio;TRUE;FALSE;394
07/06/2020;6;2020;23;Junio;TRUE;FALSE;395
06/06/2020;6;2020;23;Junio;TRUE;FALSE;396
05/06/2020;6;2020;23;Junio;TRUE;FALSE;397
04/06/2020;6;2020;23;Junio;TRUE;FALSE;398
03/06/2020;6;2020;23;Junio;TRUE;FALSE;399
02/06/2020;6;2020;22;Junio;TRUE;FALSE;400
01/06/2020;6;2020;22;Junio;TRUE;FALSE;401
31/05/2020;5;2020;22;Mayo;TRUE;FALSE;402
30/05/2020;5;2020;22;Mayo;TRUE;FALSE;403
29/05/2020;5;2020;22;Mayo;TRUE;FALSE;404
28/05/2020;5;2020;22;Mayo;TRUE;FALSE;405
27/05/2020;5;2020;22;Mayo;TRUE;FALSE;406
26/05/2020;5;2020;21;Mayo;TRUE;FALSE;407
25/05/2020;5;2020;21;Mayo;TRUE;FALSE;408
24/05/2020;5;2020;21;Mayo;TRUE;FALSE;409
23/05/2020;5;2020;21;Mayo;TRUE;FALSE;410
22/05/2020;5;2020;21;Mayo;TRUE;FALSE;411
21/05/2020;5;2020;21;Mayo;TRUE;FALSE;412
20/05/2020;5;2020;21;Mayo;TRUE;FALSE;413
19/05/2020;5;2020;20;Mayo;TRUE;FALSE;414
18/05/2020;5;2020;20;Mayo;TRUE;FALSE;415
17/05/2020;5;2020;20;Mayo;TRUE;FALSE;416
16/05/2020;5;2020;20;Mayo;TRUE;FALSE;417
15/05/2020;5;2020;20;Mayo;TRUE;FALSE;418
14/05/2020;5;2020;20;Mayo;TRUE;FALSE;419
13/05/2020;5;2020;20;Mayo;TRUE;FALSE;420
12/05/2020;5;2020;19;Mayo;TRUE;FALSE;421
11/05/2020;5;2020;19;Mayo;TRUE;FALSE;422
10/05/2020;5;2020;19;Mayo;TRUE;FALSE;423
09/05/2020;5;2020;19;Mayo;TRUE;FALSE;424
08/05/2020;5;2020;19;Mayo;TRUE;FALSE;425
