confirmados_pdia;total_confirmados;hospitalizados;uci;fallecidos;cod_cuando;cod_donde_provincia
493;493;53;7;2;34;8
72;72;6;1;2;120;1
53;54;2;1;0;120;2
75;75;11;2;2;120;3
116;116;19;7;1;120;4
32;32;5;1;0;120;5
53;53;10;1;1;120;6
77;77;10;2;0;120;7
219;219;21;2;3;120;8
182;182;12;3;2;121;1
122;122;5;0;1;121;2
189;189;20;4;4;121;3
164;164;25;4;3;121;4
131;131;13;2;1;121;5
136;136;8;0;1;121;6
128;128;5;2;1;121;7
407;407;37;6;4;121;8
200;200;15;0;0;33;1
290;290;5;2;1;33;2
191;191;13;4;3;33;3
461;461;34;5;1;33;4
139;139;9;3;2;33;5
188;188;6;1;2;33;6
233;233;8;1;0;33;7
490;490;36;4;3;33;8
183;183;7;2;0;32;1
272;272;8;1;0;32;2
174;174;12;0;0;32;3
474;474;41;8;4;32;4
142;143;10;2;0;32;5
254;254;12;4;2;32;6
216;216;9;3;2;32;7
534;534;40;6;3;32;8
237;237;10;4;2;31;1
291;291;14;3;2;31;2
165;165;17;2;1;31;3
429;429;34;9;5;31;4
137;137;10;0;0;31;5
208;208;13;2;2;31;6
232;232;20;5;2;31;7
463;463;38;4;4;31;8
179;179;12;2;0;30;1
309;309;18;3;1;30;2
196;197;12;2;1;30;3
412;415;38;7;7;30;4
164;164;15;3;3;30;5
244;244;17;4;2;30;6
268;268;17;0;0;30;7
458;458;47;6;10;30;8
136;136;18;4;1;29;1
217;217;15;1;3;29;2
160;160;15;4;3;29;3
334;334;41;8;6;29;4
101;101;12;2;2;29;5
115;115;12;1;1;29;6
174;174;17;3;1;29;7
551;551;63;12;8;29;8
67;67;9;0;1;122;1
90;90;8;1;1;122;2
84;84;12;2;0;122;3
133;133;25;7;4;122;4
44;45;9;0;0;122;5
82;82;7;1;1;122;6
93;93;6;2;0;122;7
198;198;25;2;3;122;8
77;77;13;4;3;123;1
99;99;7;0;1;123;2
143;143;6;0;1;123;3
122;122;17;2;2;123;4
38;38;2;0;0;123;5
71;71;9;0;0;123;6
92;92;1;0;1;123;7
206;206;25;3;4;123;8
58;58;7;4;0;124;1
83;83;5;0;0;124;2
51;51;2;0;0;124;3
145;145;27;1;0;124;4
41;41;2;0;0;124;5
63;63;9;1;1;124;6
76;76;6;1;0;124;7
152;152;21;5;0;124;8
133;133;10;2;3;125;1
134;134;4;0;2;125;2
137;137;10;0;0;125;3
89;89;15;6;4;125;4
60;60;5;0;0;125;5
84;84;16;2;0;125;6
93;93;15;1;1;125;7
241;241;28;4;2;125;8
179;179;16;6;5;28;1
229;229;14;0;0;28;2
145;145;12;3;1;28;3
268;268;25;4;1;28;4
111;111;9;0;0;28;5
128;129;20;3;2;28;6
207;207;15;1;1;28;7
430;430;31;6;4;28;8
164;164;7;1;0;27;1
236;236;11;1;2;27;2
120;121;9;1;0;27;3
246;246;23;2;3;27;4
68;68;9;0;0;27;5
113;113;10;0;1;27;6
170;170;9;0;1;27;7
295;295;40;6;3;27;8
130;130;15;6;1;26;1
144;144;12;2;3;26;2
118;118;13;2;2;26;3
197;197;26;5;1;26;4
68;68;8;1;0;26;5
65;65;8;0;2;26;6
141;141;12;0;0;26;7
268;268;32;3;4;26;8
41;41;7;0;1;126;1
52;52;3;0;0;126;2
46;46;5;1;1;126;3
62;62;15;3;3;126;4
21;21;6;0;0;126;5
17;17;4;0;0;126;6
33;33;1;0;0;126;7
109;109;24;1;2;126;8
126;126;7;3;0;127;1
93;93;9;0;1;127;2
156;156;10;1;1;127;3
60;60;11;4;1;127;4
26;26;1;0;0;127;5
36;36;3;0;1;127;6
93;93;7;0;1;127;7
210;210;18;1;1;127;8
143;143;15;5;3;25;1
152;152;6;3;1;25;2
187;187;14;3;2;25;3
231;231;33;7;2;25;4
61;62;8;2;2;25;5
82;83;10;4;1;25;6
180;180;18;4;3;25;7
304;305;23;6;6;25;8
202;202;10;5;2;24;1
185;185;5;0;0;24;2
184;184;12;2;2;24;3
199;199;28;9;6;24;4
52;52;5;0;0;24;5
78;78;5;1;0;24;6
141;141;7;0;0;24;7
330;330;24;4;2;24;8
129;129;14;7;3;23;1
135;135;11;3;2;23;2
134;134;9;2;0;23;3
227;227;24;7;6;23;4
53;53;5;1;1;23;5
79;80;5;1;1;23;6
112;112;9;1;2;23;7
230;231;18;2;1;23;8
167;167;10;3;0;22;1
140;140;10;1;2;22;2
151;151;4;0;0;22;3
161;161;21;4;3;22;4
52;52;4;0;0;22;5
47;47;3;1;0;22;6
176;176;9;2;2;22;7
287;288;32;5;6;22;8
107;107;13;4;1;21;1
112;112;6;3;1;21;2
116;116;10;2;1;21;3
148;148;27;4;4;21;4
36;36;5;0;0;21;5
51;51;3;1;0;21;6
107;107;5;0;0;21;7
213;213;20;2;4;21;8
51;51;5;2;2;128;1
18;18;3;1;0;128;2
31;31;5;2;0;128;3
47;47;16;3;3;128;4
11;11;2;0;0;128;5
15;15;2;0;1;128;6
40;40;5;0;1;128;7
99;99;14;3;3;128;8
108;108;15;4;2;129;1
47;47;1;0;0;129;2
82;82;5;1;0;129;3
47;47;10;4;1;129;4
18;18;4;0;0;129;5
18;18;3;1;1;129;6
59;59;10;1;3;129;7
115;115;22;1;2;129;8
133;133;9;1;3;20;1
85;85;2;1;0;20;2
111;111;10;3;2;20;3
181;182;25;3;1;20;4
63;63;7;0;1;20;5
89;89;9;1;2;20;6
119;119;9;1;4;20;7
234;234;11;1;0;20;8
136;136;15;0;3;19;1
126;126;7;0;1;19;2
105;105;7;1;0;19;3
191;191;20;5;4;19;4
34;35;3;0;0;19;5
51;51;7;1;1;19;6
142;142;11;2;2;19;7
250;250;17;1;2;19;8
125;125;6;0;1;18;1
81;81;5;0;0;18;2
112;112;5;0;0;18;3
146;146;16;2;3;18;4
32;32;4;0;0;18;5
57;57;6;1;1;18;6
142;142;7;1;0;18;7
210;210;24;1;3;18;8
163;163;12;1;4;17;1
115;115;12;3;1;17;2
77;77;12;0;0;17;3
214;215;28;5;5;17;4
33;33;1;0;1;17;5
47;47;5;1;1;17;6
125;125;7;1;1;17;7
228;228;23;4;0;17;8
111;111;12;4;0;16;1
82;82;4;0;1;16;2
37;37;2;1;0;16;3
155;155;20;2;4;16;4
21;21;3;0;0;16;5
49;49;8;2;0;16;6
93;94;9;0;1;16;7
186;186;15;1;3;16;8
75;75;11;2;4;130;1
32;32;2;0;0;130;2
24;24;6;0;1;130;3
44;44;7;4;3;130;4
4;4;0;0;0;130;5
15;15;4;3;2;130;6
49;49;3;1;2;130;7
98;99;17;1;2;130;8
114;114;16;6;2;131;1
62;62;5;1;2;131;2
51;51;2;2;0;131;3
54;54;15;4;1;131;4
14;14;0;0;0;131;5
17;17;5;0;1;131;6
69;69;10;0;0;131;7
145;145;12;0;2;131;8
170;170;11;4;5;15;1
86;86;5;0;0;15;2
87;87;7;1;0;15;3
176;176;14;3;2;15;4
28;28;2;0;0;15;5
44;44;5;0;2;15;6
166;167;20;3;1;15;7
185;185;13;2;2;15;8
153;153;12;5;0;132;1
97;97;5;1;1;132;2
61;61;2;0;0;132;3
191;191;20;7;1;132;4
20;20;1;0;0;132;5
56;56;5;0;0;132;6
133;134;12;0;1;132;7
206;206;14;1;1;132;8
188;188;24;7;4;14;1
84;84;5;1;1;14;2
94;94;8;0;1;14;3
157;157;24;3;0;14;4
27;27;3;2;0;14;5
60;60;2;0;0;14;6
151;151;12;0;2;14;7
221;221;14;1;1;14;8
185;185;7;0;1;13;1
112;112;7;2;1;13;2
125;125;13;1;3;13;3
178;178;15;1;1;13;4
24;24;2;0;0;13;5
59;59;3;1;0;13;6
168;168;7;1;4;13;7
199;199;23;3;6;13;8
83;83;13;3;3;12;1
104;104;6;0;1;12;2
67;68;7;0;2;12;3
168;168;24;4;6;12;4
16;16;1;0;0;12;5
38;38;4;0;0;12;6
115;116;11;3;3;12;7
193;193;19;3;2;12;8
46;46;3;2;0;133;1
41;41;6;0;0;133;2
62;63;9;5;3;133;3
38;38;13;4;2;133;4
5;5;2;0;1;133;5
10;10;3;0;0;133;6
49;50;10;2;1;133;7
80;80;16;1;2;133;8
120;120;10;4;3;134;1
92;92;5;0;0;134;2
60;60;6;1;0;134;3
55;55;8;3;0;134;4
17;17;4;0;0;134;5
18;18;5;0;0;134;6
75;75;6;0;1;134;7
115;115;14;1;2;134;8
148;148;5;1;1;135;1
136;136;8;0;2;135;2
90;90;8;0;0;135;3
171;171;20;2;1;135;4
21;21;2;0;1;135;5
63;63;3;0;0;135;6
