"confirmados_pdia";"total_confirmados";"curados";"fallecidos";"cod_quien";"cod_cuando"
2;2;1;0;23;517
1;1;-1;2;24;517
5;5;2;3;25;517
1;1;1;0;26;517
0;0;0;0;27;517
1;1;1;0;28;517
0;0;0;0;29;517
0;0;0;0;30;517
0;0;0;0;31;517
0;0;0;0;32;517
2;2;0;0;33;517
0;0;0;0;34;517
0;0;0;0;35;517
0;0;0;0;36;517
2;2;2;0;1;518
0;0;0;0;2;518
0;0;0;0;3;518
0;0;0;0;4;518
0;0;0;0;5;518
0;0;0;0;6;518
0;0;0;0;7;518
0;0;0;0;8;518
0;0;0;0;9;518
1;1;1;0;10;518
0;0;0;0;11;518
0;0;0;0;12;518
0;0;0;0;13;518
0;0;0;0;14;518
0;0;0;0;15;518
0;0;0;0;16;518
0;0;0;0;17;518
0;0;0;0;18;518
0;0;0;0;19;518
0;0;0;0;20;518
0;0;1;0;21;518
0;0;0;0;22;518
0;0;0;0;23;518
0;0;0;0;24;518
1;1;0;0;25;518
0;0;-1;1;26;518
0;0;0;0;27;518
0;0;0;0;28;518
0;0;0;0;29;518
0;0;0;0;30;518
0;0;0;0;31;518
0;0;0;0;32;518
0;0;0;0;33;518
0;0;0;0;34;518
0;0;0;0;35;518
0;0;0;0;36;518
0;0;0;0;1;519
0;0;0;0;2;519
0;0;0;0;3;519
0;0;0;0;4;519
0;0;0;0;5;519
0;0;0;0;6;519
0;0;0;0;7;519
0;0;0;0;8;519
0;0;0;0;9;519
1;1;0;0;10;519
0;0;0;0;11;519
0;0;0;0;12;519
0;0;0;0;13;519
0;0;0;0;14;519
0;0;0;0;15;519
0;0;0;0;16;519
0;0;0;0;17;519
0;0;0;0;18;519
0;0;0;0;19;519
0;0;0;0;20;519
0;0;0;0;21;519
0;0;0;0;22;519
0;0;0;0;23;519
0;0;0;0;24;519
0;0;0;0;25;519
0;0;0;0;26;519
0;0;0;0;27;519
2;2;1;0;28;519
0;0;0;0;29;519
0;0;0;0;30;519
