"Fecha";"Mes";"Año";"Semana";"Nombre del Mes";"Tipo de Fecha";"cod_cuando"
"19/04/2020";4;2020;16;"Abril";"Día natural";383
"18/04/2020";4;2020;16;"Abril";"Día natural";384
"17/04/2020";4;2020;16;"Abril";"Día natural";385
"16/04/2020";4;2020;16;"Abril";"Día natural";386
"15/04/2020";4;2020;16;"Abril";"Día natural";387
"14/04/2020";4;2020;15;"Abril";"Día natural";388
"13/04/2020";4;2020;15;"Abril";"Día natural";389
"12/04/2020";4;2020;15;"Abril";"Día natural";390
"11/04/2020";4;2020;15;"Abril";"Día natural";391
"10/04/2020";4;2020;15;"Abril";"Día natural";392
"09/04/2020";4;2020;15;"Abril";"Día natural";393
"08/04/2020";4;2020;15;"Abril";"Día natural";394
"07/04/2020";4;2020;14;"Abril";"Día natural";395
"06/04/2020";4;2020;14;"Abril";"Día natural";396
"05/04/2020";4;2020;14;"Abril";"Día natural";397
"04/04/2020";4;2020;14;"Abril";"Día natural";398
"03/04/2020";4;2020;14;"Abril";"Día natural";399
"02/04/2020";4;2020;14;"Abril";"Día natural";400
"01/04/2020";4;2020;14;"Abril";"Día natural";401
"31/03/2020";3;2020;13;"Marzo";"Día natural";402
"30/03/2020";3;2020;13;"Marzo";"Día natural";403
"29/03/2020";3;2020;13;"Marzo";"Día natural";404
"28/03/2020";3;2020;13;"Marzo";"Día natural";405
"27/03/2020";3;2020;13;"Marzo";"Día natural";406
"26/03/2020";3;2020;13;"Marzo";"Día natural";407
"25/03/2020";3;2020;13;"Marzo";"Día natural";408
"24/03/2020";3;2020;12;"Marzo";"Día natural";409
"23/03/2020";3;2020;12;"Marzo";"Día natural";410
"22/03/2020";3;2020;12;"Marzo";"Día natural";411
"21/03/2020";3;2020;12;"Marzo";"Día natural";412
"20/03/2020";3;2020;12;"Marzo";"Día natural";413
"19/03/2020";3;2020;12;"Marzo";"Día natural";414
"18/03/2020";3;2020;12;"Marzo";"Día natural";415
"17/03/2020";3;2020;11;"Marzo";"Día natural";416
"16/03/2020";3;2020;11;"Marzo";"Día natural";417
"15/03/2020";3;2020;11;"Marzo";"Día natural";418
"14/03/2020";3;2020;11;"Marzo";"Día natural";419
"13/03/2020";3;2020;11;"Marzo";"Día natural";420
"12/03/2020";3;2020;11;"Marzo";"Día natural";421
"11/03/2020";3;2020;11;"Marzo";"Día natural";422
"10/03/2020";3;2020;10;"Marzo";"Día natural";423
"09/03/2020";3;2020;10;"Marzo";"Día natural";424
"08/03/2020";3;2020;10;"Marzo";"Día natural";425
"07/03/2020";3;2020;10;"Marzo";"Día natural";426
"06/03/2020";3;2020;10;"Marzo";"Día natural";427
"05/03/2020";3;2020;10;"Marzo";"Día natural";428
"03/03/2020";3;2020;9;"Marzo";"Día natural";429
"02/03/2020";3;2020;9;"Marzo";"Día natural";430
"29/02/2020";2;2020;9;"Febrero";"Día natural";431
"28/02/2020";2;2020;9;"Febrero";"Día natural";432
"27/02/2020";2;2020;9;"Febrero";"Día natural";433
"26/02/2020";2;2020;9;"Febrero";"Día natural";434
"17/02/2021";2;2021;7;"Febrero";"Día hábil";435
"18/02/2021";2;2021;7;"Febrero";"Día hábil";436
